E	total	s	p
-2.4900272599999997	1.4831	0.042	0.5371999999999999
-2.4262272599999997	1.4654	0.0408	0.5334
-2.3625272599999994	1.4356	0.0396	0.5244
-2.2987272599999997	1.4283	0.038	0.5262
-2.2350272599999994	1.4196	0.0366	0.5264
-2.1713272599999995	1.3956	0.035	0.5202
-2.1075272599999995	1.3711	0.0336	0.514
-2.0438272599999996	1.3534	0.032	0.5106
-1.9800272599999995	1.338	0.0302	0.5086
-1.9163272599999996	1.3129	0.0288	0.502
-1.8525272599999996	1.3053	0.0278	0.5024
-1.7888272599999997	1.2929	0.0262	0.501
-1.7250272599999996	1.2818	0.0248	0.5006
-1.6613272599999998	1.2597	0.0232	0.495
-1.5976272599999994	1.2419	0.0218	0.49160000000000004
-1.5338272599999998	1.2302	0.0202	0.4904
-1.47012726	1.2166	0.0186	0.48860000000000003
-1.4063272599999994	1.2174	0.017	0.493
-1.3426272599999995	1.2073	0.0154	0.4926
-1.27882726	1.1802	0.0138	0.48519999999999996
-1.2151272599999992	1.1468	0.0126	0.4748
-1.1513272599999995	0.9177	0.0116	0.378
-1.0876272599999997	0.8004	0.0108	0.3294
-1.0239272599999998	0.723	0.0102	0.2978
-0.9601272599999993	0.6569	0.0094	0.271
-0.8964272599999994	0.6012	0.0088	0.2484
-0.8326272599999998	0.5434	0.0074	0.22560000000000002
-0.7689272599999999	0.4961	0.0066	0.2066
-0.7051272599999994	0.4539	0.0058	0.1894
-0.6414272599999995	0.4112	0.0048	0.1724
-0.5777272599999996	0.3758	0.0044	0.158
-0.51392726	0.3374	0.0038	0.1422
-0.45022725999999924	0.302	0.003	0.1278
-0.3864272599999996	0.2639	0.0026	0.1118
-0.32272725999999974	0.2395	0.002	0.1018
-0.2589272599999992	0.2063	0.0014	0.0882
-0.19522725999999935	0.1644	0.001	0.0704
-0.1314272599999997	0.1167	0.0004	0.050199999999999995
-0.06772725999999984	0.0674	0.0002	0.0292
-0.004027259999999977	0.0	0.0	0.0
0.059772740000000546	0.0	0.0	0.0
0.12347274000000041	0.0	0.0	0.0
0.18727274000000005	0.0	0.0	0.0
0.2509727400000008	0.0	0.0	0.0
0.31477274000000044	0.0	0.0	0.0
0.3784727400000003	0.0	0.0	0.0
0.44227274000000083	0.0	0.0	0.0
0.5059727400000007	0.0	0.0	0.0
0.5696727400000006	0.0	0.0	0.0
0.6334727400000002	0.0063	0.0006	0.0006
0.6971727400000001	0.079	0.0082	0.0073999999999999995
0.7609727400000006	0.1555	0.0158	0.0152
0.8246727400000005	0.206	0.0206	0.020399999999999998
0.8884727400000001	0.2612	0.0258	0.0266
0.9521727400000009	0.3239	0.0318	0.0332
1.0158727400000007	0.3629	0.0352	0.0382
1.0796727400000004	0.3934	0.0378	0.0426
1.1433727400000002	0.4302	0.0408	0.0478
1.2071727400000007	0.4642	0.0436	0.0526
1.2708727400000006	0.4995	0.0464	0.057800000000000004
1.3346727400000002	0.5354	0.0494	0.0632
1.3983727400000001	0.5737	0.0524	0.069
1.4621727400000006	0.617	0.0562	0.0756
1.5258727400000005	0.6734	0.0648	0.0832
1.5895727400000004	0.7365	0.0784	0.0912
1.65337274	0.8063	0.0948	0.0996
1.7170727400000008	0.8632	0.1044	0.10880000000000001
1.7808727400000004	0.9229	0.1138	0.1182
1.8445727400000003	0.9897	0.1244	0.1292
1.9083727400000008	1.0616	0.1362	0.1412
1.9720727400000007	1.1403	0.1488	0.15460000000000002
2.0358727400000003	1.234	0.164	0.17020000000000002
2.09957274	1.3699	0.1868	0.1924
2.16327274	1.6253	0.232	0.23220000000000002
2.2270727400000006	1.7227	0.2464	0.2524
2.2907727400000004	1.7056	0.2388	0.2576
2.35457274	1.6941	0.2294	0.2662
2.41827274	1.6004	0.2104	0.2572
2.4820727400000004	1.5644	0.1982	0.25939999999999996
2.545772740000001	1.492	0.1808	0.25239999999999996
2.60947274	1.3648	0.1624	0.2278
2.6732727400000007	1.341	0.1552	0.22460000000000002
2.7369727399999997	1.1907	0.1288	0.20500000000000002
2.80077274	1.1777	0.1202	0.2118
2.864472740000001	1.0969	0.1092	0.19599999999999998
2.9282727399999997	1.1246	0.1082	0.20520000000000002
2.9919727400000005	1.1499	0.1056	0.21480000000000002
3.055772740000001	0.9685	0.0766	0.1858
